,value,lat,long
2017-01-07,-145.56,6.804434,52.208448
2017-01-07,110.51008000000002,9.0095,47.629306
2017-01-07,-335.6,8.165664,47.629306
2017-01-07,184.04000000000002,9.487368,54.769801
2017-01-07,-104.4778,8.740771,54.769801
2017-01-07,741.92476,12.299951,50.00156
2017-01-07,-220.07999999999998,12.783043,49.290202
2017-01-07,450.76000000000005,6.408965,49.604481
2017-01-07,-19.880000000000003,6.233296,49.945034
2017-01-07,0.0,13.525799,55.072864
2017-01-07,-279.84000000000003,13.130464000000002,55.098016
2017-01-07,3.82536,13.041866,47.954065
2017-01-07,-468.32052000000004,12.206069,47.599681
2017-01-07,166.41024,7.946076,48.684614
2017-01-07,-322.72228000000007,7.375149,49.089157
2017-01-07,128.8,14.713545000000002,52.019543
2017-01-07,-74.24000000000001,14.581793,52.342890999999995
2017-01-08,-105.55328,9.707071000000001,51.228388
2017-01-08,230.81752,6.628553,51.938339
2017-01-08,-184.08347999999998,6.804434,52.208448
2017-01-08,338.12907999999993,9.0095,47.629306
2017-01-08,-117.4942,8.165664,47.629306
2017-01-08,89.32000000000001,9.487368,54.769801
2017-01-08,-236.18676,8.740771,54.769801
2017-01-08,451.51899999999995,12.299951,50.00156
2017-01-08,-280.6492,12.783043,49.290202
2017-01-08,497.96000000000004,6.408965,49.604481
2017-01-08,-4.0,6.233296,49.945034
2017-01-08,0.0,13.525799,55.072864
2017-01-08,-396.0,13.130464000000002,55.098016
2017-01-08,3.35732,13.041866,47.954065
2017-01-08,-55.57091999999999,12.206069,47.599681
2017-01-08,163.45116000000002,7.946076,48.684614
2017-01-08,-349.72332,7.375149,49.089157
2017-01-08,83.8,14.713545000000002,52.019543
2017-01-08,-20.0,14.581793,52.342890999999995
2017-01-09,22.055680000000006,9.707071000000001,51.228388
2017-01-09,141.48804,6.628553,51.938339
2017-01-09,-134.56,6.804434,52.208448
2017-01-09,273.94075999999995,9.0095,47.629306
2017-01-09,-224.06088,8.165664,47.629306
2017-01-09,62.81996,9.487368,54.769801
2017-01-09,-328.43603999999993,8.740771,54.769801
2017-01-09,400.12,12.299951,50.00156
2017-01-09,-380.30212,12.783043,49.290202
2017-01-09,522.9599999999999,6.408965,49.604481
2017-01-09,-3.16,6.233296,49.945034
2017-01-09,37.68,13.525799,55.072864
2017-01-09,0.0,13.130464000000002,55.098016
2017-01-09,3.6844,13.041866,47.954065
2017-01-09,-251.3732,12.206069,47.599681
2017-01-09,132.55988,7.946076,48.684614
2017-01-09,-129.27555999999998,7.375149,49.089157
2017-01-09,196.6,14.713545000000002,52.019543
2017-01-09,-88.4,14.581793,52.342890999999995
2017-01-10,6.274,9.707071000000001,51.228388
2017-01-10,125.1661,6.628553,51.938339
2017-01-10,-117.2,6.804434,52.208448
2017-01-10,1.9749499999999998,9.0095,47.629306
2017-01-10,-256.09999999999997,8.165664,47.629306
2017-01-10,394.6378,9.487368,54.769801
2017-01-10,-335.15,8.740771,54.769801
2017-01-10,285.80375,12.299951,50.00156
2017-01-10,-2.0599000000000003,12.783043,49.290202
2017-01-10,426.04999999999995,6.408965,49.604481
2017-01-10,-17.950000000000003,6.233296,49.945034
2017-01-10,100.30000000000001,13.525799,55.072864
2017-01-10,-54.4,13.130464000000002,55.098016
2017-01-10,3.9227500000000006,13.041866,47.954065
2017-01-10,-257.1216,12.206069,47.599681
2017-01-10,39.479549999999996,7.946076,48.684614
2017-01-10,-319.7385,7.375149,49.089157
2017-01-10,234.14999999999998,14.713545000000002,52.019543
2017-01-10,-36.599999999999994,14.581793,52.342890999999995
2017-01-11,8.68184,9.707071000000001,51.228388
2017-01-11,178.91220000000004,6.628553,51.938339
2017-01-11,-10.120000000000001,6.804434,52.208448
2017-01-11,162.76124,9.0095,47.629306
2017-01-11,-9.16,8.165664,47.629306
2017-01-11,178.0442,9.487368,54.769801
2017-01-11,-252.49123999999998,8.740771,54.769801
2017-01-11,318.886,12.299951,50.00156
2017-01-11,-389.09636,12.783043,49.290202
2017-01-11,431.56000000000006,6.408965,49.604481
2017-01-11,-11.52,6.233296,49.945034
2017-01-11,2.44,13.525799,55.072864
2017-01-11,-29.68,13.130464000000002,55.098016
2017-01-11,4.3479600000000005,13.041866,47.954065
2017-01-11,-389.40492000000006,12.206069,47.599681
2017-01-11,4.3096000000000005,7.946076,48.684614
2017-01-11,-156.2498,7.375149,49.089157
2017-01-11,91.35999999999999,14.713545000000002,52.019543
2017-01-11,-412.96000000000004,14.581793,52.342890999999995
2017-01-12,5.75064,9.707071000000001,51.228388
2017-01-12,164.71388000000002,6.628553,51.938339
2017-01-12,-102.52228,6.804434,52.208448
2017-01-12,1.61328,9.0095,47.629306
2017-01-12,-35.239999999999995,8.165664,47.629306
2017-01-12,96.52,9.487368,54.769801
2017-01-12,-48.159800000000004,8.740771,54.769801
2017-01-12,147.36,12.299951,50.00156
2017-01-12,-22.84444,12.783043,49.290202
2017-01-12,580.6,6.408965,49.604481
2017-01-12,-9.4,6.233296,49.945034
2017-01-12,0.0,13.525799,55.072864
2017-01-12,-541.4,13.130464000000002,55.098016
2017-01-12,4.95608,13.041866,47.954065
2017-01-12,-61.04484,12.206069,47.599681
2017-01-12,54.81175999999999,7.946076,48.684614
2017-01-12,-20.0,7.375149,49.089157
2017-01-12,76.0,14.713545000000002,52.019543
2017-01-12,-365.128,14.581793,52.342890999999995
2017-01-13,9.864880000000003,9.707071000000001,51.228388
2017-01-13,40.016999999999996,6.628553,51.938339
2017-01-13,-80.67999999999999,6.804434,52.208448
2017-01-13,775.84832,9.0095,47.629306
2017-01-13,-8.120000000000001,8.165664,47.629306
2017-01-13,197.72487999999998,9.487368,54.769801
2017-01-13,-488.36,8.740771,54.769801
2017-01-13,472.15999999999997,12.299951,50.00156
2017-01-13,-600.0158,12.783043,49.290202
2017-01-13,618.8399999999999,6.408965,49.604481
2017-01-13,-35.36,6.233296,49.945034
2017-01-13,30.6,13.525799,55.072864
2017-01-13,-396.24,13.130464000000002,55.098016
2017-01-13,7.13352,13.041866,47.954065
2017-01-13,-529.36228,12.206069,47.599681
2017-01-13,404.58068,7.946076,48.684614
2017-01-13,-5.0,7.375149,49.089157
2017-01-13,17.6,14.713545000000002,52.019543
2017-01-13,-423.3295999999999,14.581793,52.342890999999995
2017-01-14,10.5114,9.707071000000001,51.228388
2017-01-14,225.73592,6.628553,51.938339
2017-01-14,-13.319999999999999,6.804434,52.208448
2017-01-14,356.63688,9.0095,47.629306
2017-01-14,-8.84,8.165664,47.629306
2017-01-14,72.9698,9.487368,54.769801
2017-01-14,-315.24,8.740771,54.769801
2017-01-14,156.16,12.299951,50.00156
2017-01-14,-467.08592,12.783043,49.290202
2017-01-14,547.92,6.408965,49.604481
2017-01-14,-19.919999999999998,6.233296,49.945034
2017-01-14,39.48,13.525799,55.072864
2017-01-14,-81.12,13.130464000000002,55.098016
2017-01-14,7.382679999999999,13.041866,47.954065
2017-01-14,-617.5328,12.206069,47.599681
2017-01-14,103.74007999999999,7.946076,48.684614
2017-01-14,0.0,7.375149,49.089157
2017-01-14,29.360000000000003,14.713545000000002,52.019543
2017-01-14,-340.71999999999997,14.581793,52.342890999999995
2017-01-15,8.777249999999999,9.707071000000001,51.228388
2017-01-15,78.21695,6.628553,51.938339
2017-01-15,-10.8,6.804434,52.208448
2017-01-15,1.7082,9.0095,47.629306
2017-01-15,-8.2,8.165664,47.629306
2017-01-15,69.47,9.487368,54.769801
2017-01-15,-111.0025,8.740771,54.769801
2017-01-15,208.55,12.299951,50.00156
2017-01-15,-637.50065,12.783043,49.290202
2017-01-15,528.7,6.408965,49.604481
2017-01-15,-4.7,6.233296,49.945034
2017-01-15,48.7,13.525799,55.072864
2017-01-15,-468.95000000000005,13.130464000000002,55.098016
2017-01-15,6.3027500000000005,13.041866,47.954065
2017-01-15,-717.2041,12.206069,47.599681
2017-01-15,86.38950000000001,7.946076,48.684614
2017-01-15,0.0,7.375149,49.089157
2017-01-15,44.75,14.713545000000002,52.019543
2017-01-15,-407.25,14.581793,52.342890999999995
2017-01-16,7.75676,9.707071000000001,51.228388
2017-01-16,158.61684,6.628553,51.938339
2017-01-16,-204.2,6.804434,52.208448
2017-01-16,2.0757199999999996,9.0095,47.629306
2017-01-16,-230.64000000000001,8.165664,47.629306
2017-01-16,0.0,9.487368,54.769801
2017-01-16,-523.4184,8.740771,54.769801
2017-01-16,383.52,12.299951,50.00156
2017-01-16,-223.67428,12.783043,49.290202
2017-01-16,635.68,6.408965,49.604481
2017-01-16,-5.119999999999999,6.233296,49.945034
2017-01-16,0.0,13.525799,55.072864
2017-01-16,-597.8399999999999,13.130464000000002,55.098016
2017-01-16,6.359319999999999,13.041866,47.954065
2017-01-16,-227.49439999999998,12.206069,47.599681
2017-01-16,40.53788,7.946076,48.684614
2017-01-16,-226.86864,7.375149,49.089157
2017-01-16,0.0,14.713545000000002,52.019543
2017-01-16,-394.2414,14.581793,52.342890999999995
2017-01-17,5.492279999999999,9.707071000000001,51.228388
2017-01-17,401.20244,6.628553,51.938339
2017-01-17,-239.30627999999996,6.804434,52.208448
2017-01-17,2.0172800000000004,9.0095,47.629306
2017-01-17,-62.92,8.165664,47.629306
2017-01-17,7.0,9.487368,54.769801
2017-01-17,-324.5446,8.740771,54.769801
2017-01-17,460.04984,12.299951,50.00156
2017-01-17,-249.06812,12.783043,49.290202
2017-01-17,646.0800000000002,6.408965,49.604481
2017-01-17,-20.84,6.233296,49.945034
2017-01-17,0.0,13.525799,55.072864
2017-01-17,-614.76,13.130464000000002,55.098016
2017-01-17,6.263520000000001,13.041866,47.954065
2017-01-17,-175.62556,12.206069,47.599681
2017-01-17,467.90767999999997,7.946076,48.684614
2017-01-17,0.0,7.375149,49.089157
2017-01-17,0.0,14.713545000000002,52.019543
2017-01-17,-419.3624,14.581793,52.342890999999995
2017-01-18,6.860200000000001,9.707071000000001,51.228388
2017-01-18,177.56,6.628553,51.938339
2017-01-18,-415.43999999999994,6.804434,52.208448
2017-01-18,1.99496,9.0095,47.629306
