,value_im,lat_im,long_im,value_ex,lat_ex,long_ex
2017-01-01 00:00:00,-2.0,52.156113,5.387827,1.521,52.156113,6.387827
2017-01-01 00:00:00,-6.0,49.745998,6.10321,433.0,49.745998,7.103210000000001
2017-01-01 00:00:00,0.0,47.081013,2.398782,4.079,47.081013,3.398782
2017-01-01 00:00:00,0.0,46.81995,8.40065,1.2,46.81995,9.40065
2017-01-01 00:00:00,-1.125,47.554008,14.322770000000002,6.7989999999999995,47.554008,15.322770000000002
2017-01-01 00:00:00,-2.0269999999999997,50.034309,15.781198999999999,37.0,50.034309,16.781198999999997
2017-01-01 00:00:00,-810.0,51.759246999999995,19.455982000000002,0.0,51.759246999999995,20.455982000000002
2017-01-01 00:00:00,-585.0,56.138481000000006,8.973180000000001,0.0,56.138481000000006,9.973180000000001
2017-01-01 00:00:00,0.0,58.41080899999999,15.621373,2.0,58.41080899999999,16.621373000000002
2017-01-01 00:00:00,0.0,51.318729,9.49463,9.516,51.318729,9.49463
2017-01-01 01:00:00,-2.0,52.156113,5.387827,1.365,52.156113,6.387827
2017-01-01 01:00:00,-6.0,49.745998,6.10321,413.0,49.745998,7.103210000000001
2017-01-01 01:00:00,0.0,47.081013,2.398782,4.235,47.081013,3.398782
2017-01-01 01:00:00,0.0,46.81995,8.40065,1.2,46.81995,9.40065
2017-01-01 01:00:00,-1.216,47.554008,14.322770000000002,6.962999999999999,47.554008,15.322770000000002
2017-01-01 01:00:00,-2.0180000000000002,50.034309,15.781198999999999,37.0,50.034309,16.781198999999997
2017-01-01 01:00:00,-819.0,51.759246999999995,19.455982000000002,0.0,51.759246999999995,20.455982000000002
2017-01-01 01:00:00,-585.0,56.138481000000006,8.973180000000001,0.0,56.138481000000006,9.973180000000001
2017-01-01 01:00:00,0.0,58.41080899999999,15.621373,2.0,58.41080899999999,16.621373000000002
2017-01-01 01:00:00,0.0,51.318729,9.49463,9.568999999999999,51.318729,9.49463
2017-01-01 02:00:00,-2.0,52.156113,5.387827,1.329,52.156113,6.387827
2017-01-01 02:00:00,-6.0,49.745998,6.10321,396.0,49.745998,7.103210000000001
2017-01-01 02:00:00,0.0,47.081013,2.398782,4.271,47.081013,3.398782
2017-01-01 02:00:00,0.0,46.81995,8.40065,1.2,46.81995,9.40065
2017-01-01 02:00:00,-1.248,47.554008,14.322770000000002,6.726,47.554008,15.322770000000002
2017-01-01 02:00:00,-1.953,50.034309,15.781198999999999,37.0,50.034309,16.781198999999997
2017-01-01 02:00:00,-884.0,51.759246999999995,19.455982000000002,0.0,51.759246999999995,20.455982000000002
2017-01-01 02:00:00,-585.0,56.138481000000006,8.973180000000001,0.0,56.138481000000006,9.973180000000001
2017-01-01 02:00:00,0.0,58.41080899999999,15.621373,2.0,58.41080899999999,16.621373000000002
2017-01-01 02:00:00,0.0,51.318729,9.49463,9.283,51.318729,9.49463
2017-01-01 03:00:00,-2.0,52.156113,5.387827,1.203,52.156113,6.387827
