id;town;road;number;plz;country;operator
253;Uno-X Hvam;Trondheimsveien;40;2013;NO;Uno-X
254;Uno-X Kjorbo;Kjørboveien;1;1337;NO;Uno-X
259;Versailles - Paris West (Air Liquide);Chemin de la croix blanche;unknown streetnr;78350;FR;Air Liquide FR
260;Weiterstadt (Shell);Robert-Koch-Str.;1;64331;DE;H2 MOBILITY
261;Wendlingen (Shell);Heinrich-Otto-Str.;2;73240;DE;H2 MOBILITY
263;Wien (OMV);Shuttleworthstraße;10;1210;AT;OMV AT
264;Wiesbaden (Shell);Borsigstraße;1;65205;DE;H2 MOBILITY
265;Wolfsburg (Air Liquide);Schulenburgallee;2;38448;DE;H2 MOBILITY
266;Wr. Neudorf (OMV);IZ NÖ Süd Straße Objekt 9;4;2351;AT;OMV AT
267;Wuppertal (Shell);Schmiedestr.;91;42279;DE;H2 MOBILITY
268;Zaventem - Brussels (Air Liquide);Leuvensesteenweg;546;1930;BE;Air Liquide BE
